clean_path,noisy_path,noise_path,snr_db
data\timit_mixed\SI2167_clean.wav,data\timit_mixed\SI2167_snr5.wav,data\noise\m109.wav,5.0
data\timit_mixed\SI514_clean.wav,data\timit_mixed\SI514_snr0.wav,data\noise\destroyerengine.wav,0.0
data\timit_mixed\SI1466_clean.wav,data\timit_mixed\SI1466_snr10.wav,data\noise\destroyerops.wav,10.0
data\timit_mixed\SI1969_clean.wav,data\timit_mixed\SI1969_snr-5.wav,data\noise\hfchannel.wav,-5.0
data\timit_mixed\SI1599_clean.wav,data\timit_mixed\SI1599_snr10.wav,data\noise\demo_noise.wav,10.0
data\timit_mixed\SI1069_clean.wav,data\timit_mixed\SI1069_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SI1405_clean.wav,data\timit_mixed\SI1405_snr5.wav,data\noise\f16.wav,5.0
data\timit_mixed\SI1691_clean.wav,data\timit_mixed\SI1691_snr-5.wav,data\noise\factory1.wav,-5.0
data\timit_mixed\SX256_clean.wav,data\timit_mixed\SX256_snr5.wav,data\noise\destroyerengine.wav,5.0
data\timit_mixed\SI1686_clean.wav,data\timit_mixed\SI1686_snr5.wav,data\noise\buccaneer2.wav,5.0
data\timit_mixed\SX63_clean.wav,data\timit_mixed\SX63_snr0.wav,data\noise\destroyerops.wav,0.0
data\timit_mixed\SX426_clean.wav,data\timit_mixed\SX426_snr-5.wav,data\noise\machinegun.wav,-5.0
data\timit_mixed\SI2186_clean.wav,data\timit_mixed\SI2186_snr10.wav,data\noise\demo_noise.wav,10.0
data\timit_mixed\SI987_clean.wav,data\timit_mixed\SI987_snr10.wav,data\noise\destroyerops.wav,10.0
data\timit_mixed\SI1073_clean.wav,data\timit_mixed\SI1073_snr-5.wav,data\noise\factory2.wav,-5.0
data\timit_mixed\SI1291_clean.wav,data\timit_mixed\SI1291_snr10.wav,data\noise\destroyerops.wav,10.0
data\timit_mixed\SI1161_clean.wav,data\timit_mixed\SI1161_snr0.wav,data\noise\factory1.wav,0.0
data\timit_mixed\SI1134_clean.wav,data\timit_mixed\SI1134_snr10.wav,data\noise\volvo.wav,10.0
data\timit_mixed\SI1685_clean.wav,data\timit_mixed\SI1685_snr10.wav,data\noise\buccaneer1.wav,10.0
data\timit_mixed\SX434_clean.wav,data\timit_mixed\SX434_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SI2085_clean.wav,data\timit_mixed\SI2085_snr-5.wav,data\noise\pink.wav,-5.0
data\timit_mixed\SX325_clean.wav,data\timit_mixed\SX325_snr-5.wav,data\noise\factory1.wav,-5.0
data\timit_mixed\SI2304_clean.wav,data\timit_mixed\SI2304_snr0.wav,data\noise\f16.wav,0.0
data\timit_mixed\SI2309_clean.wav,data\timit_mixed\SI2309_snr10.wav,data\noise\m109.wav,10.0
data\timit_mixed\SX108_clean.wav,data\timit_mixed\SX108_snr0.wav,data\noise\babble.wav,0.0
data\timit_mixed\SI1816_clean.wav,data\timit_mixed\SI1816_snr5.wav,data\noise\factory1.wav,5.0
data\timit_mixed\SI1788_clean.wav,data\timit_mixed\SI1788_snr10.wav,data\noise\demo_noise.wav,10.0
data\timit_mixed\SX77_clean.wav,data\timit_mixed\SX77_snr10.wav,data\noise\destroyerengine.wav,10.0
data\timit_mixed\SX250_clean.wav,data\timit_mixed\SX250_snr10.wav,data\noise\volvo.wav,10.0
data\timit_mixed\SI658_clean.wav,data\timit_mixed\SI658_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SI2102_clean.wav,data\timit_mixed\SI2102_snr0.wav,data\noise\factory2.wav,0.0
data\timit_mixed\SI1332_clean.wav,data\timit_mixed\SI1332_snr5.wav,data\noise\destroyerengine.wav,5.0
data\timit_mixed\SI1291_clean.wav,data\timit_mixed\SI1291_snr-5.wav,data\noise\destroyerops.wav,-5.0
data\timit_mixed\SI1407_clean.wav,data\timit_mixed\SI1407_snr5.wav,data\noise\factory2.wav,5.0
data\timit_mixed\SX39_clean.wav,data\timit_mixed\SX39_snr0.wav,data\noise\pink.wav,0.0
data\timit_mixed\SX220_clean.wav,data\timit_mixed\SX220_snr5.wav,data\noise\f16.wav,5.0
data\timit_mixed\SI699_clean.wav,data\timit_mixed\SI699_snr10.wav,data\noise\babble.wav,10.0
data\timit_mixed\SX150_clean.wav,data\timit_mixed\SX150_snr10.wav,data\noise\machinegun.wav,10.0
data\timit_mixed\SI1060_clean.wav,data\timit_mixed\SI1060_snr0.wav,data\noise\m109.wav,0.0
data\timit_mixed\SI747_clean.wav,data\timit_mixed\SI747_snr10.wav,data\noise\demo_noise.wav,10.0
data\timit_mixed\SI899_clean.wav,data\timit_mixed\SI899_snr0.wav,data\noise\factory1.wav,0.0
data\timit_mixed\SX354_clean.wav,data\timit_mixed\SX354_snr5.wav,data\noise\f16.wav,5.0
data\timit_mixed\SI883_clean.wav,data\timit_mixed\SI883_snr5.wav,data\noise\hfchannel.wav,5.0
data\timit_mixed\SI1215_clean.wav,data\timit_mixed\SI1215_snr10.wav,data\noise\m109.wav,10.0
data\timit_mixed\SI1598_clean.wav,data\timit_mixed\SI1598_snr-5.wav,data\noise\buccaneer2.wav,-5.0
data\timit_mixed\SX328_clean.wav,data\timit_mixed\SX328_snr5.wav,data\noise\leopard.wav,5.0
data\timit_mixed\SI571_clean.wav,data\timit_mixed\SI571_snr-5.wav,data\noise\pink.wav,-5.0
data\timit_mixed\SX329_clean.wav,data\timit_mixed\SX329_snr0.wav,data\noise\m109.wav,0.0
data\timit_mixed\SI1138_clean.wav,data\timit_mixed\SI1138_snr0.wav,data\noise\buccaneer2.wav,0.0
data\timit_mixed\SI1367_clean.wav,data\timit_mixed\SI1367_snr-5.wav,data\noise\white.wav,-5.0
data\timit_mixed\SI1122_clean.wav,data\timit_mixed\SI1122_snr5.wav,data\noise\factory2.wav,5.0
data\timit_mixed\SI918_clean.wav,data\timit_mixed\SI918_snr-5.wav,data\noise\buccaneer2.wav,-5.0
data\timit_mixed\SI1947_clean.wav,data\timit_mixed\SI1947_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SI886_clean.wav,data\timit_mixed\SI886_snr0.wav,data\noise\machinegun.wav,0.0
data\timit_mixed\SI465_clean.wav,data\timit_mixed\SI465_snr-5.wav,data\noise\buccaneer1.wav,-5.0
data\timit_mixed\SX148_clean.wav,data\timit_mixed\SX148_snr5.wav,data\noise\hfchannel.wav,5.0
data\timit_mixed\SI1611_clean.wav,data\timit_mixed\SI1611_snr10.wav,data\noise\volvo.wav,10.0
data\timit_mixed\SX186_clean.wav,data\timit_mixed\SX186_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SI2052_clean.wav,data\timit_mixed\SI2052_snr10.wav,data\noise\destroyerops.wav,10.0
data\timit_mixed\SI2061_clean.wav,data\timit_mixed\SI2061_snr5.wav,data\noise\volvo.wav,5.0
data\timit_mixed\SI1679_clean.wav,data\timit_mixed\SI1679_snr0.wav,data\noise\m109.wav,0.0
data\timit_mixed\SX96_clean.wav,data\timit_mixed\SX96_snr0.wav,data\noise\destroyerops.wav,0.0
data\timit_mixed\SI488_clean.wav,data\timit_mixed\SI488_snr0.wav,data\noise\buccaneer1.wav,0.0
data\timit_mixed\SX240_clean.wav,data\timit_mixed\SX240_snr5.wav,data\noise\destroyerengine.wav,5.0
data\timit_mixed\SI1340_clean.wav,data\timit_mixed\SI1340_snr10.wav,data\noise\machinegun.wav,10.0
data\timit_mixed\SX257_clean.wav,data\timit_mixed\SX257_snr10.wav,data\noise\destroyerops.wav,10.0
data\timit_mixed\SI1959_clean.wav,data\timit_mixed\SI1959_snr5.wav,data\noise\babble.wav,5.0
data\timit_mixed\SI703_clean.wav,data\timit_mixed\SI703_snr0.wav,data\noise\destroyerengine.wav,0.0
data\timit_mixed\SX78_clean.wav,data\timit_mixed\SX78_snr0.wav,data\noise\destroyerops.wav,0.0
data\timit_mixed\SX112_clean.wav,data\timit_mixed\SX112_snr0.wav,data\noise\buccaneer2.wav,0.0
data\timit_mixed\SI1931_clean.wav,data\timit_mixed\SI1931_snr10.wav,data\noise\m109.wav,10.0
data\timit_mixed\SI1870_clean.wav,data\timit_mixed\SI1870_snr10.wav,data\noise\pink.wav,10.0
data\timit_mixed\SX342_clean.wav,data\timit_mixed\SX342_snr5.wav,data\noise\hfchannel.wav,5.0
data\timit_mixed\SI1569_clean.wav,data\timit_mixed\SI1569_snr5.wav,data\noise\volvo.wav,5.0
data\timit_mixed\SI526_clean.wav,data\timit_mixed\SI526_snr-5.wav,data\noise\volvo.wav,-5.0
data\timit_mixed\SI988_clean.wav,data\timit_mixed\SI988_snr0.wav,data\noise\f16.wav,0.0
data\timit_mixed\SI831_clean.wav,data\timit_mixed\SI831_snr-5.wav,data\noise\demo_noise.wav,-5.0
data\timit_mixed\SI714_clean.wav,data\timit_mixed\SI714_snr-5.wav,data\noise\white.wav,-5.0
data\timit_mixed\SI845_clean.wav,data\timit_mixed\SI845_snr10.wav,data\noise\machinegun.wav,10.0
data\timit_mixed\SX390_clean.wav,data\timit_mixed\SX390_snr10.wav,data\noise\volvo.wav,10.0
data\timit_mixed\SI1426_clean.wav,data\timit_mixed\SI1426_snr10.wav,data\noise\hfchannel.wav,10.0
data\timit_mixed\SI1172_clean.wav,data\timit_mixed\SI1172_snr10.wav,data\noise\buccaneer2.wav,10.0
data\timit_mixed\SX429_clean.wav,data\timit_mixed\SX429_snr10.wav,data\noise\white.wav,10.0
data\timit_mixed\SX307_clean.wav,data\timit_mixed\SX307_snr5.wav,data\noise\leopard.wav,5.0
data\timit_mixed\SI1591_clean.wav,data\timit_mixed\SI1591_snr-5.wav,data\noise\m109.wav,-5.0
data\timit_mixed\SI867_clean.wav,data\timit_mixed\SI867_snr5.wav,data\noise\leopard.wav,5.0
data\timit_mixed\SI917_clean.wav,data\timit_mixed\SI917_snr-5.wav,data\noise\buccaneer1.wav,-5.0
data\timit_mixed\SI1870_clean.wav,data\timit_mixed\SI1870_snr0.wav,data\noise\pink.wav,0.0
data\timit_mixed\SI991_clean.wav,data\timit_mixed\SI991_snr5.wav,data\noise\hfchannel.wav,5.0
data\timit_mixed\SX382_clean.wav,data\timit_mixed\SX382_snr-5.wav,data\noise\hfchannel.wav,-5.0
data\timit_mixed\SI513_clean.wav,data\timit_mixed\SI513_snr0.wav,data\noise\demo_noise.wav,0.0
data\timit_mixed\SI1458_clean.wav,data\timit_mixed\SI1458_snr-5.wav,data\noise\babble.wav,-5.0
data\timit_mixed\SX378_clean.wav,data\timit_mixed\SX378_snr5.wav,data\noise\f16.wav,5.0
data\timit_mixed\SI1499_clean.wav,data\timit_mixed\SI1499_snr-5.wav,data\noise\leopard.wav,-5.0
data\timit_mixed\SI2206_clean.wav,data\timit_mixed\SI2206_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SI1854_clean.wav,data\timit_mixed\SI1854_snr-5.wav,data\noise\pink.wav,-5.0
data\timit_mixed\SI542_clean.wav,data\timit_mixed\SI542_snr0.wav,data\noise\pink.wav,0.0
data\timit_mixed\SI1205_clean.wav,data\timit_mixed\SI1205_snr10.wav,data\noise\demo_noise.wav,10.0
data\timit_mixed\SI1274_clean.wav,data\timit_mixed\SI1274_snr5.wav,data\noise\leopard.wav,5.0
data\timit_mixed\SI2328_clean.wav,data\timit_mixed\SI2328_snr5.wav,data\noise\pink.wav,5.0
data\timit_mixed\SI1074_clean.wav,data\timit_mixed\SI1074_snr10.wav,data\noise\hfchannel.wav,10.0
data\timit_mixed\SI1070_clean.wav,data\timit_mixed\SI1070_snr5.wav,data\noise\destroyerops.wav,5.0
data\timit_mixed\SI2004_clean.wav,data\timit_mixed\SI2004_snr0.wav,data\noise\buccaneer1.wav,0.0
data\timit_mixed\SI1167_clean.wav,data\timit_mixed\SI1167_snr-5.wav,data\noise\pink.wav,-5.0
data\timit_mixed\SI1113_clean.wav,data\timit_mixed\SI1113_snr10.wav,data\noise\buccaneer1.wav,10.0
data\timit_mixed\SI2015_clean.wav,data\timit_mixed\SI2015_snr0.wav,data\noise\factory2.wav,0.0
data\timit_mixed\SI2235_clean.wav,data\timit_mixed\SI2235_snr-5.wav,data\noise\hfchannel.wav,-5.0
data\timit_mixed\SI1532_clean.wav,data\timit_mixed\SI1532_snr0.wav,data\noise\hfchannel.wav,0.0
data\timit_mixed\SI976_clean.wav,data\timit_mixed\SI976_snr5.wav,data\noise\leopard.wav,5.0
data\timit_mixed\SI628_clean.wav,data\timit_mixed\SI628_snr5.wav,data\noise\volvo.wav,5.0
data\timit_mixed\SX65_clean.wav,data\timit_mixed\SX65_snr-5.wav,data\noise\factory1.wav,-5.0
data\timit_mixed\SI463_clean.wav,data\timit_mixed\SI463_snr10.wav,data\noise\babble.wav,10.0
data\timit_mixed\SI1486_clean.wav,data\timit_mixed\SI1486_snr5.wav,data\noise\demo_noise.wav,5.0
data\timit_mixed\SI1014_clean.wav,data\timit_mixed\SI1014_snr0.wav,data\noise\hfchannel.wav,0.0
data\timit_mixed\SI1783_clean.wav,data\timit_mixed\SI1783_snr-5.wav,data\noise\volvo.wav,-5.0
data\timit_mixed\SI1411_clean.wav,data\timit_mixed\SI1411_snr0.wav,data\noise\machinegun.wav,0.0
data\timit_mixed\SI1372_clean.wav,data\timit_mixed\SI1372_snr-5.wav,data\noise\buccaneer2.wav,-5.0
data\timit_mixed\SX67_clean.wav,data\timit_mixed\SX67_snr-5.wav,data\noise\hfchannel.wav,-5.0
data\timit_mixed\SI1293_clean.wav,data\timit_mixed\SI1293_snr5.wav,data\noise\factory1.wav,5.0
data\timit_mixed\SX235_clean.wav,data\timit_mixed\SX235_snr-5.wav,data\noise\volvo.wav,-5.0
data\timit_mixed\SI1470_clean.wav,data\timit_mixed\SI1470_snr10.wav,data\noise\factory2.wav,10.0
data\timit_mixed\SI1740_clean.wav,data\timit_mixed\SI1740_snr10.wav,data\noise\m109.wav,10.0
data\timit_mixed\SI1726_clean.wav,data\timit_mixed\SI1726_snr5.wav,data\noise\buccaneer2.wav,5.0
data\timit_mixed\SI701_clean.wav,data\timit_mixed\SI701_snr5.wav,data\noise\buccaneer2.wav,5.0
